,Unnamed: 0,cosine_distance_x,w1,w2,combined_words,C1,C2,S1,S2,Category,V1,V2,S_01,S_02,S_03,S_04,S_05,S_07,S_08,S_09,S_10,S_11,S_12,S_13,S_14,S_16,S_17,S_18,S_19,S_20,S_21,S_22,S_23,S_24,CB_06,CB_08,CB_09,CB_14,CB_15,CB_18,CB_19,CB_22,CB_23,CB_24,CB_25,CB_26,CB_27,CB_28,CB_29,CB_30,CB_31,CB_32,CB_33,CB_34,CB_35,CB_37,CB_38,CB_40,CB_41,AMT_av,cosine_distance_y
56,116,0.6470947072682385,blink,twinkle,blink_twinkle,Light,Light,Light,Light,Emission,blink,twinkle,1,2,3,4,6,5,4.0,3,1,1,4,,6,1,2,2,3,6,5,2,1,1,5,3,5.0,3.0,5.0,5.0,5,3,5.0,5.0,3.0,6,1,5.0,4.0,6.0,1,2.0,1.0,7.0,4.0,4.0,6,5.0,4.0,3.894736842,0.278829871195277
57,117,0.8296393347180036,blink,bark,bark_blink,Sound,Light,Sanim,Light,Emission,bark,blink,1,1,4,1,3,6,1.0,1,1,1,1,,2,1,1,1,1,1,2,2,1,1,1,1,1.0,1.0,1.0,3.0,3,1,1.0,1.0,1.0,1,1,2.0,1.0,1.0,1,1.0,1.0,7.0,1.0,1.0,1,1.0,2.0,1.657894737,0.3637422322203563
58,118,0.7461404363515914,blink,bellow,bellow_blink,Sound,Light,Sanim,Light,Emission,bellow,blink,1,1,1,2,1,1,1.0,1,1,1,1,,3,1,1,1,1,1,1,1,1,1,2,1,1.0,1.0,1.0,2.0,1,1,1.0,1.0,1.0,1,1,3.0,1.0,4.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,2.0,1.5277777780000001,0.26269921521791784
59,119,0.7556506024084125,blink,groan,blink_groan,Light,Sound,Light,Sanim,Emission,blink,groan,1,1,1,1,4,1,2.0,1,1,1,1,,3,1,1,1,1,1,1,2,1,1,1,1,1.0,1.0,1.0,2.0,3,1,1.0,1.0,1.0,1,1,2.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,2.157894737,0.27667528541748887
60,120,0.7613123934684948,blink,growl,blink_growl,Light,Sound,Light,Sanim,Emission,blink,growl,1,1,1,2,3,1,2.0,1,1,1,1,,2,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,2.0,1,1,1.0,1.0,1.0,1,1,3.0,1.0,1.0,1,1.0,1.0,3.0,1.0,1.0,1,1.0,1.0,1.8529411759999999,0.23992279123650218
61,121,0.7957597732515853,blink,grumble,blink_grumble,Light,Sound,Light,Sanim,Emission,blink,grumble,1,1,1,3,4,1,2.0,1,1,1,1,,2,1,1,1,1,2,2,2,1,1,1,1,1.0,1.0,1.0,2.0,1,1,1.0,1.0,1.0,1,1,2.0,1.0,1.0,1,1.0,1.0,2.0,1.0,1.0,1,1.0,1.0,1.714285714,0.325249090800554
62,122,0.8644689847702217,blink,grunt,blink_grunt,Light,Sound,Light,Sanim,Emission,blink,grunt,1,1,3,3,4,1,2.0,1,1,1,1,,4,1,1,1,2,1,1,1,1,1,1,1,1.0,1.0,2.0,3.0,2,1,1.0,1.0,1.0,1,1,2.0,1.0,1.0,1,1.0,1.0,7.0,1.0,1.0,1,1.0,3.0,1.882352941,0.2724627174520835
63,123,0.7524864751371914,blink,howl,blink_howl,Light,Sound,Light,Sanim,Emission,blink,howl,1,1,1,3,3,2,2.0,1,1,1,1,,3,1,2,1,1,1,2,2,1,1,2,1,1.0,1.0,1.0,3.0,1,1,1.0,1.0,1.0,1,1,2.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.789473684,0.28412147838902324
64,124,0.7811260660526679,blink,moan,blink_moan,Light,Sound,Light,Sanim,Emission,blink,moan,1,1,1,2,1,1,1.0,1,1,1,1,,2,1,1,1,1,1,1,2,1,1,2,1,1.0,1.0,1.0,2.0,3,1,1.0,1.0,1.0,1,1,1.0,1.0,4.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.8285714290000001,0.3175254009512779
65,125,0.8439463518097138,blink,mutter,blink_mutter,Light,Sound,Light,Sanim,Emission,blink,mutter,1,1,1,3,2,1,1.0,1,1,1,1,,2,1,1,1,6,2,2,1,1,1,1,1,1.0,1.0,1.0,5.0,1,1,1.0,1.0,1.0,1,1,2.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,2.0,1.513513514,0.4119827360193229
66,126,0.7742479776309343,blink,shout,blink_shout,Light,Sound,Light,Sanim,Emission,blink,shout,1,1,2,2,2,3,1.0,1,1,1,1,,4,1,2,1,1,3,2,2,1,1,1,1,2.0,1.0,1.0,1.0,4,1,1.0,1.0,1.0,1,1,2.0,2.0,4.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.894736842,0.3968407691758954
67,127,0.7449550702915757,blink,squawk,blink_squawk,Light,Sound,Light,Sanim,Emission,blink,squawk,1,1,2,6,1,2,2.0,1,1,1,1,,2,2,1,1,1,3,2,2,1,1,2,1,1.0,1.0,1.0,3.0,1,1,1.0,1.0,2.0,1,1,3.0,1.0,1.0,1,1.0,2.0,1.0,1.0,1.0,2,1.0,4.0,1.735294118,0.2629893598690667
68,128,0.8121571954811614,blink,wail,blink_wail,Light,Sound,Light,Sanim,Emission,blink,wail,1,1,2,2,3,1,2.0,1,1,1,1,,2,1,1,1,1,1,2,2,1,1,1,1,1.0,1.0,1.0,3.0,1,1,1.0,1.0,1.0,1,1,2.0,1.0,4.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.945945946,0.2762141380820722
69,129,0.7995052873550346,blink,whimper,blink_whimper,Light,Sound,Light,Sanim,Emission,blink,whimper,1,1,1,5,3,1,1.0,1,1,1,1,,2,1,1,1,3,1,2,1,1,1,2,2,1.0,1.0,1.0,5.0,1,1,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1,1.0,1.0,2.0,1.0,1.0,1,1.0,5.0,1.8378378380000002,0.27966149840841736
70,130,0.7919236618324108,blink,whisper,blink_whisper,Light,Sound,Light,Sanim,Emission,blink,whisper,1,1,1,1,1,1,1.0,1,1,1,1,,3,1,2,1,1,1,1,2,1,1,1,2,1.0,1.0,1.0,4.0,4,1,1.0,1.0,1.0,1,1,2.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,4.0,2.0810810809999998,0.3374401931040242
71,131,0.7821256917827748,blink,yelp,blink_yelp,Light,Sound,Light,Sanim,Emission,blink,yelp,1,1,4,2,2,5,1.0,1,1,1,1,,4,1,1,1,1,2,2,2,1,1,2,1,1.0,1.0,1.0,3.0,3,1,1.0,1.0,1.0,1,1,4.0,1.0,4.0,1,1.0,1.0,7.0,1.0,1.0,1,1.0,5.0,1.605263158,0.26153095962020334
72,132,0.7775354282850955,blink,beep,beep_blink,Sound,Light,Sinanim,Light,Emission,beep,blink,1,1,4,3,4,4,2.0,1,2,1,1,,4,2,2,3,3,3,5,1,1,1,2,2,2.0,2.0,1.0,4.0,5,1,1.0,1.0,1.0,1,1,3.0,1.0,1.0,1,2.0,1.0,7.0,1.0,1.0,1,1.0,7.0,1.85,0.24152418515095841
73,133,0.8716061727682565,blink,boom,blink_boom,Light,Sound,Light,Sinanim,Emission,blink,boom,1,1,2,1,4,1,2.0,1,1,1,1,,2,1,1,1,1,2,2,2,1,1,2,1,1.0,1.0,1.0,2.0,5,1,1.0,1.0,1.0,1,1,2.0,1.0,5.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,2.0256410259999997,0.4414150215681927
