,Unnamed: 0,cosine_distance_x,w1,w2,combined_words,C1,C2,S1,S2,Category,V1,V2,S_01,S_02,S_03,S_04,S_05,S_07,S_08,S_09,S_10,S_11,S_12,S_13,S_14,S_16,S_17,S_18,S_19,S_20,S_21,S_22,S_23,S_24,CB_06,CB_08,CB_09,CB_14,CB_15,CB_18,CB_19,CB_22,CB_23,CB_24,CB_25,CB_26,CB_27,CB_28,CB_29,CB_30,CB_31,CB_32,CB_33,CB_34,CB_35,CB_37,CB_38,CB_40,CB_41,AMT_av,cosine_distance_y
20,20,0.8634589027822299,blaze,howl,blaze_howl,Light,Sound,Light,Sanim,Emission,blaze,howl,1,1,4,4,2,4,4.0,1,1,1,1,,3,1,2,1,4,2,4,3,1,1,1,1,2.0,1.0,2.0,3.0,4,1,1.0,1.0,1.0,1,1,4.0,2.0,1.0,1,2.0,1.0,7.0,2.0,1.0,2,1.0,7.0,2.4473684209999997,0.3736495392957889
21,21,0.8429469772141043,blaze,moan,blaze_moan,Light,Sound,Light,Sanim,Emission,blaze,moan,1,1,1,2,4,1,2.0,1,1,1,1,,2,1,1,1,1,1,2,2,1,1,2,1,1.0,1.0,2.0,2.0,1,1,1.0,1.0,1.0,1,1,2.0,2.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,5.0,2.147058824,0.4244200367759403
22,22,0.8548379739604659,blaze,mutter,blaze_mutter,Light,Sound,Light,Sanim,Emission,blaze,mutter,1,1,1,2,1,2,3.0,1,1,1,1,,2,1,1,1,1,1,2,2,1,1,1,1,1.0,1.0,1.0,3.0,1,1,1.0,1.0,1.0,1,1,3.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.631578947,0.5076928128324736
23,23,0.8813993688874155,blaze,shout,blaze_shout,Light,Sound,Light,Sanim,Emission,blaze,shout,1,1,5,5,2,6,3.0,2,4,1,1,,3,1,1,1,6,2,3,3,1,1,1,2,3.0,1.0,2.0,5.0,4,1,1.0,1.0,1.0,2,1,3.0,2.0,1.0,1,5.0,1.0,7.0,4.0,4.0,1,1.0,6.0,2.6842105259999998,0.49257612636315784
24,24,0.8921912001213167,blaze,squawk,blaze_squawk,Light,Sound,Light,Sanim,Emission,blaze,squawk,1,1,1,4,5,4,1.0,1,1,1,1,,2,1,6,1,1,3,3,2,1,1,1,1,2.0,1.0,2.0,1.0,3,1,1.0,1.0,1.0,1,1,3.0,1.0,1.0,1,1.0,1.0,7.0,1.0,1.0,1,1.0,2.0,1.5789473680000001,0.41974449336708297
25,25,0.9094176603967704,blaze,wail,blaze_wail,Light,Sound,Light,Sanim,Emission,blaze,wail,1,1,1,1,2,4,3.0,1,6,1,1,,2,1,1,1,4,2,3,2,1,1,1,1,1.0,1.0,4.0,4.0,3,1,1.0,1.0,1.0,1,1,4.0,1.0,1.0,1,2.0,2.0,7.0,3.0,1.0,1,1.0,7.0,2.25,0.40869490952950427
26,26,0.8869401343305564,blaze,whimper,blaze_whimper,Light,Sound,Light,Sanim,Emission,blaze,whimper,1,1,1,1,3,2,1.0,1,1,1,1,,2,1,1,1,1,1,1,1,1,1,1,1,1.0,2.0,1.0,3.0,1,1,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,2.0,1,1.0,1.0,1.947368421,0.4247479376708482
27,27,0.9236113622749821,blaze,whisper,blaze_whisper,Light,Sound,Light,Sanim,Emission,blaze,whisper,1,1,1,2,4,1,2.0,1,1,1,1,,3,1,1,1,1,1,2,2,1,1,1,1,1.0,1.0,1.0,2.0,3,1,1.0,1.0,1.0,1,1,2.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.648648649,0.4539033037467056
28,28,0.8473502940914232,blaze,yelp,blaze_yelp,Light,Sound,Light,Sanim,Emission,blaze,yelp,1,1,2,4,2,4,2.0,1,1,1,1,,2,1,1,1,4,1,3,3,1,1,1,1,1.0,1.0,1.0,4.0,1,1,1.0,1.0,1.0,1,1,4.0,1.0,1.0,1,2.0,1.0,1.0,4.0,1.0,1,1.0,1.0,1.970588235,0.3593252537776169
29,29,0.8583211043525658,blaze,beep,beep_blaze,Sound,Light,Sinanim,Light,Emission,beep,blaze,1,1,2,2,4,4,3.0,1,1,1,1,,2,1,1,1,2,2,2,2,1,1,1,1,1.0,1.0,1.0,4.0,2,1,1.0,1.0,1.0,1,1,2.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,2.0,1.5384615380000002,0.393791084957987
